gabarytowy dimensional
gnuśnieć laze
gnuśność laziness
gnykowy hyoid
godło emblem
godny worthy
godowy festive
gody mating
godzianowskość desirability
godzić reconcile
godzieskość decency
godzina time
godziwiej fairer
godziwość fairness
gofrować emboss
gogusiowaty foppish
goguś dude
goić heal
gojąco healing
goleniowskość shininess
golfik turtleneck
golfy turtlenecks
golibroda barber
golić shave
golizna destitution
golteria shavings
golubskość idleness
golusi shaves
goluteńki barefoot
gołańczanka pigtail
goławość slowness
goławy dirty
gołąbki doves
gołąbkowce lovebirds
gołębiarz sniper
gołębię squab
gołębiowaty dovish
gołobrody barebeards
gołogłowy bareheaded
gołosłowność flatness
gołosłowny unfounded
gołowąs cub
gomołówka mess
gomóła lame
gomółka lump
gonciarka shaker
goniatyty chases
gonitwa race
gonność urgency
gonty shingles
gońcowy bishop
gończak hound
gończyk hunk
gorajskość zealousness
gorącogłowy hothead
gorączka fever
gorączkotwórczy pyretic
gorączkowość feverishness
gorączkowy hectic
gorczańskość mustardness
gorliwiec zealot
gorliwość zeal
gorliwy zealous
gors bosom
gorseciarski corsetry
gorszość inferiority
gorszyciel scandal
gorszyć shock
gorzelniany distillers
gorzelnik distiller
gorzknia quassia
gorzko bitterly
gryzoń rodent
grzebiące rummaging
